Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Housing,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,General index
Rural,2014,May,138.61245159852263,138.49722927799186,134.6948927004763,135.9623382263148,126.85977490438356,145.52579083036915,142.76045513763054,128.47288739181442,119.25510174935239,128.5881097123452,131.58389004614534,137.3450060726841,136.19278286737637,134.00355877729163,136.76889447003023,134.5796703799455,136.53844982896868,131.6991123666761,130.66211148189916,131.46866772561455,129.16422131499905,128.35766507128363,127.78155346862977,130.31644452030682,125.47710705801425,128.81855435340674,133.6578918156993
Urban,2014,May,141.37778729126126,142.9908997786921,131.58389004614534,137.22978375215334,119.25510174935239,148.86723812576162,146.33234707408457,129.74033291765292,116.72021069767533,134.81011502100705,130.08599987924526,140.2255640859535,138.2667846369303,136.30800518790713,134.5796703799455,130.08599987924526,133.88833645676084,131.6991123666761,128.0119981096913,131.46866772561455,128.12722043022208,128.24244275075287,128.47288739181442,130.08599987924526,125.93799634013736,128.70333203287598,133.19700253357618
Rural+Urban,2014,May,139.53423016276884,140.1103417654227,133.54266949516852,136.42322750843792,124.09443921164495,147.13890331780001,144.02790066346907,128.93377667393753,118.44854550563696,130.66211148189916,131.00777844349147,138.72767391905342,136.99933911109179,134.5796703799455,135.9623382263148,132.7361132514531,135.5014489441917,131.6991123666761,129.62511059712216,131.46866772561455,128.81855435340674,128.24244275075287,128.12722043022208,130.20122219977605,125.7075516990758,128.81855435340674,133.42744717463773
Rural,2014,June,138.34540963056443,139.37698269326125,133.07292508789172,136.7407404219249,126.42500979495655,144.19099031917983,148.20266334077863,128.60277514953876,118.74552143932455,128.7173943787273,131.69749433762928,137.6576942554332,136.96997888030197,134.44835583815416,137.19921733867906,134.44835583815416,136.7407404219249,130.5513020457439,131.1243981916866,131.69749433762928,129.29049052467,128.60277514953876,127.68582131603047,131.00977896249805,123.7887675236202,128.7173943787273,134.10449815058854
Urban,2014,June,141.0962711310893,144.30560954836835,132.27059048357197,138.00155194299882,118.5162829809475,150.38042869536082,157.6014401342387,129.29049052467,116.22389839717675,135.59454813003953,129.74896744142413,140.29393652676956,139.83545961001542,136.39688273435928,134.5629750673427,129.74896744142413,133.76064046302295,130.5513020457439,127.45658285765339,131.00977896249805,127.68582131603047,127.800440545219,128.14429823278462,131.92673279600632,124.59110212793996,128.60277514953876,133.41678277545734
Rural+Urban,2014,June,139.26236346407273,141.0962711310893,132.7290674003261,137.19921733867906,123.55952906524313,147.05647104889326,151.41200175805767,128.83201360791585,117.94318683500481,131.00977896249805,130.8951597333095,138.91850577650712,138.00155194299882,135.02145198409684,136.1676442759822,132.499828941949,135.59454813003953,130.5513020457439,129.74896744142413,131.35363665006363,128.7173943787273,128.14429823278462,127.91505977440752,131.58287510844073,124.13262521118581,128.7173943787273,133.76064046302295
Rural,2014,July,138.7614814297639,139.67363578591682,134.20070964899926,137.50726919005362,125.87730114910381,147.19890922417844,171.14296107319277,129.06984139563906,119.49222065603333,129.18386069015816,131.80630446409782,137.84932707361097,140.58579014206973,134.5427675325566,137.62128848457274,134.88482541611396,137.16521130649627,130.8941501079449,131.46424658054048,131.5782658750596,129.29787998467728,129.06984139563906,127.47357127237143,131.6922851695787,124.05299243679795,128.95582210111994,136.25305695034334
Urban,2014,July,141.15588661466532,144.12038827216233,134.5427675325566,138.64746213524475,118.00996982728482,152.44379677205777,196.5692637509556,128.95582210111994,117.0978154711319,136.82315342293893,129.75395716275375,140.69980943658885,144.91852333379614,137.9633463681301,134.5427675325566,129.5259185737155,133.85865176544192,130.8941501079449,127.2455326833332,131.00816940246403,127.13151338881408,128.8418028066008,128.15768703948612,134.31472894351836,125.07916608747,129.4118992791964,135.56894118322865
Rural+Urban,2014,July,139.5596164913977,141.26990590918444,134.31472894351836,137.9633463681301,123.02681878612592,149.59331440907988,179.80842745664555,129.06984139563906,118.69408559439951,131.6922851695787,130.8941501079449,139.21755860784035,142.18206026533736,135.45492188870952,136.36707624486246,132.60443952573164,135.79697977226687,130.8941501079449,129.86797645727287,131.35022728602138,128.49974492304347,128.95582210111994,127.81562915592876,133.1745359983272,124.50906961487442,129.18386069015816,135.910999066786
Rural,2014,August,138.14860499999998,139.28282999999996,133.61170499999997,138.2620275,125.44528499999997,147.10898249999997,182.72364749999997,129.41507249999998,119.20704749999997,129.98218499999996,131.34325499999997,138.0351825,142.11839249999997,134.74593,137.12780249999997,134.74593,136.90095749999998,131.0029875,130.88956499999998,131.45667749999998,129.30164999999997,128.39426999999998,127.26004499999998,131.796945,124.08421499999999,128.7345375,136.90095749999998
